LOCALES,,,,,,,,,,,,,,DEPARTAMENTOS,,,,,,,,,,
DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,USDM2,PESOSM2,ANTIG,EN_GALERIA,COTIZ_,TRIMESTRE_,BARRIOS_,COMUNA_,,,Direccion,PropiedadS,Dolares,Pesos,DolaresM2,PesosM2,Ambientes,Cotizacion,Trimestre,Barrio,Comunas
FOREST 300,200,186000,11718000,930,930,40,NO,63,PRIMER,CHACARITA,15,,,Sarmiento 1281 0,26,59000,3776000,2458,157333,1,64,SEGUNDO,SAN NICOLAS,1
FOREST 317,200,350000,22050000,1750,1750,80,NO,63,PRIMER,CHACARITA,15,,,Montevideo 58 0,24,48000,3072000,2000,128000,1,64,SEGUNDO,SAN NICOLAS,1
GUEVARA 500,40,139900,8813700,3498,3498,0,NO,63,PRIMER,CHACARITA,15,,,peron 1200,32,85221,5454144,3493,223530,2,64,SEGUNDO,SAN NICOLAS,1
"LACROZE, FEDERICO 3600",22,35000,2205000,1591,1591,50,NO,63,PRIMER,CHACARITA,15,,,Tucuman 700,58,163555,10467520,6676,427246,2,64,SEGUNDO,SAN NICOLAS,1
"LACROZE, FEDERICO 3600",90,250000,15750000,2778,2778,0,NO,63,PRIMER,CHACARITA,15,,,Tucuman 700,24,72299,4627136,2951,188863,2,64,SEGUNDO,SAN NICOLAS,1
"LACROZE, FEDERICO 4000",1342,1350000,85050000,1006,1006,0,NO,63,PRIMER,CHACARITA,15,,,Lavalle 1768,50,59000,3776000,2360,151040,1,64,SEGUNDO,SAN NICOLAS,1
LEIVA 4400,45,68000,4284000,1511,1511,42,NO,63,PRIMER,CHACARITA,15,,,PARANA al 600 0,25,84000,5376000,3360,215040,1,64,SEGUNDO,SAN NICOLAS,1
"LEMOS, JUAN GREGORIO, Gral. 200",25,79900,5033700,3196,3196,2,NO,63,PRIMER,CHACARITA,15,,,Av Corrientes 600,28,71900,4601600,2876,184064,1,64,SEGUNDO,SAN NICOLAS,1
OLLEROS 4144,94,390000,24570000,4149,4149,0,SI,63,PRIMER,CHACARITA,15,,,B Mitre 1200,25,59900,3833600,2396,153344,1,64,SEGUNDO,SAN NICOLAS,1
"RAMIREZ DE VELAZCO, JUAN 1500",26,75000,4725000,2885,2885,30,SI,63,PRIMER,CHACARITA,15,,,Sarmiento 0,25,57000,3648000,2280,145920,1,64,SEGUNDO,SAN NICOLAS,1
ROSETI 900,237,349000,21987000,1473,1473,35,NO,63,PRIMER,CHACARITA,15,,,Reconquista 600,25,72000,4608000,2880,184320,2,64,SEGUNDO,SAN NICOLAS,1
VERA 1400,88,210000,13230000,2386,2386,0,NO,63,PRIMER,CHACARITA,15,,,Cerrito 30,25,65000,4160000,2600,166400,1,64,SEGUNDO,SAN NICOLAS,1
ASAMBLEA 1500,20,65000,4095000,3250,3250,6,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Gral Juan Jose Viamonte 1400,25,57900,3705600,2316,148224,1,64,SEGUNDO,SAN NICOLAS,1
BALBASTRO 1600,430,295000,18585000,686,686,80,NO,63,PRIMER,PARQUE CHACABUCO,7,,,ESMERALDA 400,25,75000,4800000,3000,192000,2,64,SEGUNDO,SAN NICOLAS,1
BARCO CENTENERA del 1651,404,265000,16695000,656,656,10,NO,63,PRIMER,PARQUE CHACABUCO,7,,,CARABELAS 200,25,62000,3968000,2480,158720,1,64,SEGUNDO,SAN NICOLAS,1
BARCO CENTENERA del 1700,42,74500,4693500,1774,1774,0,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Montevideo 100,25,59000,3776000,2360,151040,1,64,SEGUNDO,SAN NICOLAS,1
BARCO CENTENERA del 1900,302,220000,13860000,728,728,0,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Sarmiento 1300,25,59000,3776000,2360,151040,1,64,SEGUNDO,SAN NICOLAS,1
BARCO CENTENERA del 2100,83,99000,6237000,1193,1193,60,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Rodriguez Peña 36 0,25,58000,3712000,2320,148480,1,64,SEGUNDO,SAN NICOLAS,1
BARCO CENTENERA del 2200,66,59000,3717000,894,894,0,NO,63,PRIMER,PARQUE CHACABUCO,7,,,VIAMONTE 1400,25,58000,3712000,2320,148480,1,64,SEGUNDO,SAN NICOLAS,1
COBO 1300,235,179000,11277000,762,762,45,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Rodriguez peña 466 0,25,62000,3968000,2480,158720,1,64,SEGUNDO,SAN NICOLAS,1
COBO 676,400,390000,24570000,975,975,25,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Bartolome Mitre 1400,26,121738,7791232,4755,304345,2,64,SEGUNDO,SAN NICOLAS,1
DIRECTORIO 1000,120,420000,26460000,3500,3500,6,NO,63,PRIMER,PARQUE CHACABUCO,7,,,B Mitre 1200,26,59900,3833600,2304,147446,1,64,SEGUNDO,SAN NICOLAS,1
DIRECTORIO 1200,96,560000,35280000,5833,5833,5,NO,63,PRIMER,PARQUE CHACABUCO,7,,,VIAMONTE 800,26,61000,3904000,2346,150154,2,64,SEGUNDO,SAN NICOLAS,1
DIRECTORIO 471,162,450000,28350000,2778,2778,0,NO,63,PRIMER,PARQUE CHACABUCO,7,,,lavalle 300 0,26,50000,3200000,1923,123077,1,64,SEGUNDO,SAN NICOLAS,1
DIRECTORIO 571,85,401200,25275600,4720,4720,0,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Av. Corrientes 800,26,75000,4800000,2885,184615,2,64,SEGUNDO,SAN NICOLAS,1
LA PLATA 1200,104,320000,20160000,3077,3077,0,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Nicolas Rodriguez Peña 30,26,60000,3840000,2308,147692,1,64,SEGUNDO,SAN NICOLAS,1
LA PLATA 1200,86,280000,17640000,3256,3256,45,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Bartolome Mitre 1400,26,117875,7544000,4516,289042,2,64,SEGUNDO,SAN NICOLAS,1
LA PLATA 1300,568,720000,45360000,1268,1268,50,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Av.  Corrientes 820,27,65000,4160000,2407,154074,2,64,SEGUNDO,SAN NICOLAS,1
LA PLATA 1600,198,220000,13860000,1111,1111,70,NO,63,PRIMER,PARQUE CHACABUCO,7,,,B Mitre 1100,27,56000,3584000,2074,132741,1,64,SEGUNDO,SAN NICOLAS,1
LA PLATA 1600,1453,1690000,106470000,1163,1163,70,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Viamonte al 300 0,27,85000,5440000,3148,201481,1,64,SEGUNDO,SAN NICOLAS,1
LA PLATA 1880,135,200000,12600000,1481,1481,50,NO,63,PRIMER,PARQUE CHACABUCO,7,,,BARTOLOME MITRE 1400,27,110000,7040000,4074,260741,1,64,SEGUNDO,SAN NICOLAS,1
LA PLATA 2100,136,160000,10080000,1176,1176,60,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Maipu 200 0,27,65000,4160000,2407,154074,1,64,SEGUNDO,SAN NICOLAS,1
"MORENO, JOSE MARIA 1727",354,285000,17955000,805,805,50,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Bartolome Mitre 1400,27,91200,5836800,3378,216178,2,64,SEGUNDO,SAN NICOLAS,1
"PERON, EVA 2000",135,190000,11970000,1407,1407,50,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Lavalle al 700 0,27,83000,5312000,3074,196741,2,64,SEGUNDO,SAN NICOLAS,1
PUAN 2080,220,295000,18585000,1341,1341,60,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Viamonte 845,27,79000,5056000,2926,187259,1,64,SEGUNDO,SAN NICOLAS,1
SAN JOSE DE CALASANZ 817,40,89000,5607000,2225,2225,0,NO,63,PRIMER,PARQUE CHACABUCO,7,,,AV. CORRIENTES 800,27,95000,6080000,3518,225185,1,64,SEGUNDO,SAN NICOLAS,1
THORNE 1356,30,50000,3150000,1667,1667,20,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Viamonte 900,30,69000,4416000,2556,163556,1,64,SEGUNDO,SAN NICOLAS,1
"VEDIA, AGUSTIN DE 2100",900,700000,44100000,778,778,0,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Av Corrientes 1400,32,115000,7360000,4259,272593,2,64,SEGUNDO,SAN NICOLAS,1
VERNET 109,59,115000,7245000,1949,1949,0,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Bartolome Mitre 1400,27,119829,7669056,4438,284039,1,64,SEGUNDO,SAN NICOLAS,1
VERNET 196,160,360000,22680000,2250,2250,15,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Lavalle al 1400 0,27,69000,4416000,2556,163556,1,64,SEGUNDO,SAN NICOLAS,1
VERNET 300,24,57000,3591000,2375,2375,0,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Bartolome Mitre 1400,28,128822,8244608,4771,305356,2,64,SEGUNDO,SAN NICOLAS,1
ZELARRAYAN 500,432,320000,20160000,741,741,59,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Bartolome Mitre 1400,35,125000,8000000,4630,296296,2,64,SEGUNDO,SAN NICOLAS,1
ZUVIRIA 1100,115,380000,23940000,3304,3304,87,NO,63,PRIMER,PARQUE CHACABUCO,7,,,Gral. Peron al 1700 0,27,61000,3904000,2259,144593,1,64,SEGUNDO,SAN NICOLAS,1
ZUVIRIA 200,60,110000,6930000,1833,1833,40,NO,63,PRIMER,PARQUE CHACABUCO,7,,,NOGOYA al 4400 0,27,95000,6080000,3518,225185,1,64,SEGUNDO,SAN NICOLAS,1
COMBATIENTES DE MALVINAS 3000,3700,8000000,504000000,2162,2162,25,NO,63,PRIMER,PARQUE CHAS,15,,,rivadavia 1200,27,75664,4842496,2792,178690,2,64,SEGUNDO,SAN NICOLAS,1
DE LOS CONSTITUYENTES 3600,56,120000,7560000,2143,2143,40,NO,63,PRIMER,PARQUE CHAS,15,,,peron 1200,36,103506,6624384,3819,244442,2,64,SEGUNDO,SAN NICOLAS,1
ALVAREZ JONTE 2200,200,400000,25200000,2000,2000,0,NO,63,PRIMER,PATERNAL,15,,,Av Corrientes 818,28,67000,4288000,2436,155927,1,64,SEGUNDO,SAN NICOLAS,1
CHORROARIN 700,88,145000,9135000,1648,1648,55,NO,63,PRIMER,PATERNAL,15,,,Tucuman 700,28,85265,5456960,3080,197145,2,64,SEGUNDO,SAN NICOLAS,1
CHORROARIN 701,88,145000,9135000,1648,1648,55,NO,63,PRIMER,PATERNAL,15,,,Tucuman 700,28,111116,7111424,4014,256916,2,64,SEGUNDO,SAN NICOLAS,1
CUCHA CUCHA 2500,35,62500,3937500,1786,1786,35,NO,63,PRIMER,PATERNAL,15,,,Tucuman 700,28,91166,5834624,3279,209879,2,64,SEGUNDO,SAN NICOLAS,1
CUCHA CUCHA 2791,77,65000,4095000,844,844,40,NO,63,PRIMER,PATERNAL,15,,,Bartolome Mitre 1200,28,62000,3968000,2214,141714,1,64,SEGUNDO,SAN NICOLAS,1
"LAMAS, ANDRES 2400",438,495000,31185000,1130,1130,50,NO,63,PRIMER,PATERNAL,15,,,Maipu 600,28,55000,3520000,1964,125714,1,64,SEGUNDO,SAN NICOLAS,1
MATURIN 2300,546,600000,37800000,1099,1099,35,NO,63,PRIMER,PATERNAL,15,,,0,28,63000,4032000,2250,144000,2,64,SEGUNDO,SAN NICOLAS,1
"RODRIGUEZ, MANUEL A., GRAL 2749",220,450000,28350000,2045,2045,20,NO,63,PRIMER,PATERNAL,15,,,Suipacha 600,28,63000,4032000,2250,144000,2,64,SEGUNDO,SAN NICOLAS,1
SAN MARTIN 2600,24,39000,2457000,1625,1625,30,SI,63,PRIMER,PATERNAL,15,,,Avenida Corrientes 800 0,28,109000,6976000,3893,249143,2,64,SEGUNDO,SAN NICOLAS,1
"TRELLES, MANUEL R. 2600",250,275000,17325000,1100,1100,40,NO,63,PRIMER,PATERNAL,15,,,Corrientes al 700 0,28,64900,4153600,2318,148343,2,64,SEGUNDO,SAN NICOLAS,1
WARNES 1600,174,300000,18900000,1724,1724,0,NO,63,PRIMER,PATERNAL,15,,,Rodriguez peña y Av Rivadavia 0,28,55000,3520000,1964,125714,1,64,SEGUNDO,SAN NICOLAS,1
WARNES 1600,120,340000,21420000,2833,2833,40,NO,63,PRIMER,PATERNAL,15,,,Viamonte 400 0,28,79900,5113600,2854,182629,1,64,SEGUNDO,SAN NICOLAS,1
WARNES 1700,180,330000,20790000,1833,1833,0,NO,63,PRIMER,PATERNAL,15,,,Tucumán al 900 0,28,64000,4096000,2286,146286,2,64,SEGUNDO,SAN NICOLAS,1
YERUA 5000,35,160000,10080000,4571,4571,0,NO,63,PRIMER,PATERNAL,15,,,Bartolome Mitre 1400,28,86000,5504000,3071,196571,1,64,SEGUNDO,SAN NICOLAS,1
"ACHA, MARIANO, Gral. 3900",45,69000,4347000,1533,1533,47,NO,63,PRIMER,SAAVEDRA,12,,,Presidente Perón 1500 0,28,75000,4800000,2679,171429,2,64,SEGUNDO,SAN NICOLAS,1
"ACHA, MARIANO, Gral. 4500",60,115000,7245000,1917,1917,40,NO,63,PRIMER,SAAVEDRA,12,,,Bartolome Mitre 1400,28,83000,5312000,2964,189714,2,64,SEGUNDO,SAN NICOLAS,1
"BALBIN, RICARDO, DR. 3695",80,450000,28350000,5625,5625,1,NO,63,PRIMER,SAAVEDRA,12,,,Bartolome Mitre 1400,36,112000,7168000,4000,256000,1,64,SEGUNDO,SAN NICOLAS,1
"BALBIN, RICARDO, DR. 3700",124,400000,25200000,3226,3226,0,NO,63,PRIMER,SAAVEDRA,12,,,Avenida Rivadavia 1100,28,100000,6400000,3571,228571,1,64,SEGUNDO,SAN NICOLAS,1
"BALBIN, RICARDO, DR. 3741",146,372000,23436000,2548,2548,0,NO,63,PRIMER,SAAVEDRA,12,,,Tucuman 700,29,92272,5905408,3226,206483,2,64,SEGUNDO,SAN NICOLAS,1
"BALBIN, RICARDO, DR. 4342",37,124000,7812000,3351,3351,3,NO,63,PRIMER,SAAVEDRA,12,,,Tucuman 700,29,96000,6144000,3357,214825,2,64,SEGUNDO,SAN NICOLAS,1
CABILDO 4400,500,1200000,75600000,2400,2400,0,NO,63,PRIMER,SAAVEDRA,12,,,Tucuman 700,29,95181,6091584,3328,212992,2,64,SEGUNDO,SAN NICOLAS,1
CIUDAD DE LA PAZ 3700,204,540000,34020000,2647,2647,0,SI,63,PRIMER,SAAVEDRA,12,,,Tucuman 700,29,90463,5789632,3163,202435,2,64,SEGUNDO,SAN NICOLAS,1
"LARRALDE, CRISOLOGO 3600",85,390000,24570000,4588,4588,5,NO,63,PRIMER,SAAVEDRA,12,,,Rivadavia 1100,29,89000,5696000,3089,197709,2,64,SEGUNDO,SAN NICOLAS,1
MILLER 4200,78,200000,12600000,2564,2564,0,SI,63,PRIMER,SAAVEDRA,12,,,Rivadavia 1100,29,90000,5760000,3124,199931,2,64,SEGUNDO,SAN NICOLAS,1
PAROISSIEN 4100,100,75000,4725000,750,750,0,NO,63,PRIMER,SAAVEDRA,12,,,Montevideo 743,29,125000,8000000,4310,275862,1,64,SEGUNDO,SAN NICOLAS,1
PAROISSIEN 4400,40,135000,8505000,3375,3375,0,NO,63,PRIMER,SAAVEDRA,12,,,Avda. Corrientes 1600,29,75000,4800000,2586,165517,1,64,SEGUNDO,SAN NICOLAS,1
PLAZA 3977,90,150000,9450000,1667,1667,50,NO,63,PRIMER,SAAVEDRA,12,,,Av Corrientes 800,29,75000,4800000,2586,165517,2,64,SEGUNDO,SAN NICOLAS,1
PLAZA 4171,49,71000,4473000,1449,1449,39,NO,63,PRIMER,SAAVEDRA,12,,,Tucuman 700,32,96824,6196736,3339,213681,2,64,SEGUNDO,SAN NICOLAS,1
RUIZ HUIDOBRO 3054,70,210000,13230000,3000,3000,50,NO,63,PRIMER,SAAVEDRA,12,,,LAVALLE 643,29,55000,3520000,1897,121379,2,64,SEGUNDO,SAN NICOLAS,1
RUIZ HUIDOBRO 3200,290,299000,18837000,1031,1031,40,NO,63,PRIMER,SAAVEDRA,12,,,Talcahuano 400,29,68000,4352000,2345,150069,1,64,SEGUNDO,SAN NICOLAS,1
RUIZ HUIDOBRO 4000,57,89000,5607000,1561,1561,35,NO,63,PRIMER,SAAVEDRA,12,,,Domingo F Sarmiento 1500,32,71900,4601600,2479,158676,2,64,SEGUNDO,SAN NICOLAS,1
SAN ISIDRO LABRADOR 4600,20,115000,7245000,5750,5750,37,NO,63,PRIMER,SAAVEDRA,12,,,Talcahuano 400,29,73000,4672000,2517,161103,1,64,SEGUNDO,SAN NICOLAS,1
TRONADOR 3800,130,265000,16695000,2038,2038,60,NO,63,PRIMER,SAAVEDRA,12,,,Av. Corrientes 800,29,80000,5120000,2759,176552,1,64,SEGUNDO,SAN NICOLAS,1
TRONADOR 3900,81,145000,9135000,1790,1790,35,NO,63,PRIMER,SAAVEDRA,12,,,Avenida Corrientes 1600,29,75000,4800000,2586,165517,1,64,SEGUNDO,SAN NICOLAS,1
VEDIA 2400,120,650000,40950000,5417,5417,0,NO,63,PRIMER,SAAVEDRA,12,,,LIBERTAD al 800 entre CORDOBA AV y 0,29,75000,4800000,2586,165517,1,64,SEGUNDO,SAN NICOLAS,1
ACEVEDO 1000,400,650000,40950000,1625,1625,0,NO,63,PRIMER,VILLA CRESPO,15,,,Tucuman 700,29,81391,5209024,2781,177965,2,64,SEGUNDO,SAN NICOLAS,1
ACEVEDO 700,30,125000,7875000,4167,4167,35,NO,63,PRIMER,VILLA CRESPO,15,,,Tucuman 700,29,76697,4908608,2620,167701,2,64,SEGUNDO,SAN NICOLAS,1
AGUIRRE 500,24,200000,12600000,8333,8333,30,NO,63,PRIMER,VILLA CRESPO,15,,,Tucuman 700,29,78231,5006784,2673,171055,2,64,SEGUNDO,SAN NICOLAS,1
AGUIRRE 600,96,420000,26460000,4375,4375,0,NO,63,PRIMER,VILLA CRESPO,15,,,Tucuman 700,29,86373,5527872,2951,188858,2,64,SEGUNDO,SAN NICOLAS,1
AGUIRRE 600,150,790000,49770000,5267,5267,10,NO,63,PRIMER,VILLA CRESPO,15,,,Tucuman 700,29,84680,5419520,2893,185156,2,64,SEGUNDO,SAN NICOLAS,1
AGUIRRE 700,78,450000,28350000,5769,5769,0,NO,63,PRIMER,VILLA CRESPO,15,,,Tucuman 700,29,79796,5106944,2726,174477,2,64,SEGUNDO,SAN NICOLAS,1
AGUIRRE 852,350,1850000,116550000,5286,5286,6,NO,63,PRIMER,VILLA CRESPO,15,,,Tucuman 700,29,83019,5313216,2836,181524,2,64,SEGUNDO,SAN NICOLAS,1
"ALVAREZ, JULIAN 500",98,200000,12600000,2041,2041,40,NO,63,PRIMER,VILLA CRESPO,15,,,Tucuman 700,29,86256,5520384,2947,188602,2,64,SEGUNDO,SAN NICOLAS,1
"ALVAREZ, JULIAN 500",98,213000,13419000,2173,2173,40,NO,63,PRIMER,VILLA CRESPO,15,,,Lavalle 700,30,82000,5248000,2733,174933,2,64,SEGUNDO,SAN NICOLAS,1
"ALVAREZ, JULIAN 600",135,168000,10584000,1244,1244,35,NO,63,PRIMER,VILLA CRESPO,15,,,Gral Juan Lavalle 1600,42,42000,2688000,1400,89600,1,64,SEGUNDO,SAN NICOLAS,1
"ALVAREZ, JULIAN 600",157,300000,18900000,1911,1911,0,NO,63,PRIMER,VILLA CRESPO,15,,,Lavalle al 1500 0,30,71900,4601600,2397,153387,2,64,SEGUNDO,SAN NICOLAS,1
"ALVAREZ, JULIAN 678",45,160000,10080000,3556,3556,35,NO,63,PRIMER,VILLA CRESPO,15,,,Lavalle 1400,30,69000,4416000,2300,147200,1,64,SEGUNDO,SAN NICOLAS,1
"ALVAREZ, JULIAN 700",159,170000,10710000,1069,1069,49,NO,63,PRIMER,VILLA CRESPO,15,,,Reconquista 600,60,60000,3840000,2000,128000,1,64,SEGUNDO,SAN NICOLAS,1
"ALVAREZ, JULIAN 800",100,215000,13545000,2150,2150,0,NO,63,PRIMER,VILLA CRESPO,15,,,Av. Corrientes al 800 0,30,89900,5753600,2997,191787,2,64,SEGUNDO,SAN NICOLAS,1
ARAOZ 105,114,162000,10206000,1421,1421,30,NO,63,PRIMER,VILLA CRESPO,15,,,Esmeralda 500,60,72000,4608000,2400,153600,1,64,SEGUNDO,SAN NICOLAS,1
ARAOZ 200,80,200000,12600000,2500,2500,30,NO,63,PRIMER,VILLA CRESPO,15,,,Domingo F Sarmiento 1300,30,89000,5696000,2967,189867,2,64,SEGUNDO,SAN NICOLAS,1
ARAOZ 600,90,170000,10710000,1889,1889,30,SI,63,PRIMER,VILLA CRESPO,15,,,Av Corrientes 700,30,72000,4608000,2400,153600,2,64,SEGUNDO,SAN NICOLAS,1
"BELAUSTEGUI, LUIS, Dr. 900",495,950000,59850000,1919,1919,0,NO,63,PRIMER,VILLA CRESPO,15,,,Tucuman 700,72,167312,10707968,5577,356932,2,64,SEGUNDO,SAN NICOLAS,1
CAMARGO 300,56,128000,8064000,2286,2286,0,NO,63,PRIMER,VILLA CRESPO,15,,,Suipacha 700,30,77000,4928000,2567,164267,2,64,SEGUNDO,SAN NICOLAS,1
CAMARGO 400,25,97000,6111000,3880,3880,30,NO,63,PRIMER,VILLA CRESPO,15,,,Suipacha 770,30,65000,4160000,2167,138667,2,64,SEGUNDO,SAN NICOLAS,1
CAMARGO 700,70,150000,9450000,2143,2143,40,NO,63,PRIMER,VILLA CRESPO,15,,,Suipacha 400 0,30,66000,4224000,2200,140800,2,64,SEGUNDO,SAN NICOLAS,1
CASTILLO 100,30,125000,7875000,4167,4167,35,SI,63,PRIMER,VILLA CRESPO,15,,,Esmeralda 600,30,55000,3520000,1833,117333,2,64,SEGUNDO,SAN NICOLAS,1
CASTILLO 200,50,153000,9639000,3060,3060,30,SI,63,PRIMER,VILLA CRESPO,15,,,Tucuman 700,30,79796,5106944,2660,170231,2,64,SEGUNDO,SAN NICOLAS,1
CASTILLO 600,100,350000,22050000,3500,3500,8,NO,63,PRIMER,VILLA CRESPO,15,,,CORRIENTES 800,30,150000,9600000,5000,320000,2,64,SEGUNDO,SAN NICOLAS,1
CASTILLO 600,90,520000,32760000,5778,5778,10,NO,63,PRIMER,VILLA CRESPO,15,,,Av Corrientes 800,30,170000,10880000,5667,362667,2,64,SEGUNDO,SAN NICOLAS,1
CASTILLO 600,19,135000,8505000,7105,7105,22,NO,63,PRIMER,VILLA CRESPO,15,,,TUCUMAN 1600,33,100000,6400000,3333,213333,2,64,SEGUNDO,SAN NICOLAS,1
CORDOBA 4301,440,1800000,113400000,4091,4091,30,NO,63,PRIMER,VILLA CRESPO,15,,,LAVALLE 750,30,87000,5568000,2900,185600,2,64,SEGUNDO,SAN NICOLAS,1
CORDOBA 5022,198,1150000,72450000,5808,5808,20,NO,63,PRIMER,VILLA CRESPO,15,,,Libertad al 300 0,30,80000,5120000,2667,170667,1,64,SEGUNDO,SAN NICOLAS,1
CORDOBA 5100,713,1500000,94500000,2104,2104,0,NO,63,PRIMER,VILLA CRESPO,15,,,lavalle al 1400 0,30,80000,5120000,2667,170667,1,64,SEGUNDO,SAN NICOLAS,1
CORDOBA 5160,1678,2700000,170100000,1608,1609,1,NO,63,PRIMER,VILLA CRESPO,15,,,Lavalle 750,30,92000,5888000,3067,196267,2,64,SEGUNDO,SAN NICOLAS,1
CORRIENTES 4900,474,640000,40320000,1350,1350,40,NO,63,PRIMER,VILLA CRESPO,15,,,Lavalle 700,30,85000,5440000,2833,181333,2,64,SEGUNDO,SAN NICOLAS,1
CORRIENTES 4900,220,399000,25137000,1814,1814,60,NO,63,PRIMER,VILLA CRESPO,15,,,Esmeralda al 600 0,30,69500,4448000,2317,148267,1,64,SEGUNDO,SAN NICOLAS,1
CORRIENTES 5000,103,299000,18837000,2903,2903,40,NO,63,PRIMER,VILLA CRESPO,15,,,Parana 450,30,76000,4864000,2533,162133,1,64,SEGUNDO,SAN NICOLAS,1
CORRIENTES 5200,21,34900,2198700,1662,1662,0,NO,63,PRIMER,VILLA CRESPO,15,,,Bartolome Mitre 1600,30,74500,4768000,2483,158933,1,64,SEGUNDO,SAN NICOLAS,1
CORRIENTES 5200,15,40000,2520000,2667,2667,53,NO,63,PRIMER,VILLA CRESPO,15,,,Cerrito 36,30,68500,4384000,2283,146133,1,64,SEGUNDO,SAN NICOLAS,1
CORRIENTES 5200,30,95000,5985000,3167,3167,50,NO,63,PRIMER,VILLA CRESPO,15,,,David PeÑa 4100,45,120000,7680000,4000,256000,2,64,SEGUNDO,SAN NICOLAS,1
CORRIENTES 5200,26,95000,5985000,3654,3654,40,SI,63,PRIMER,VILLA CRESPO,15,,,David PeÑa 4100,40,93000,5952000,3100,198400,2,64,SEGUNDO,SAN NICOLAS,1
CORRIENTES 5400,260,2800000,176400000,10769,10769,20,NO,63,PRIMER,VILLA CRESPO,15,,,"DE LA TORRE, LISANDRO 400",65,85000,5440000,2833,181333,1,64,SEGUNDO,SAN NICOLAS,1
CORRIENTES 5500,180,269000,16947000,1494,1494,0,NO,63,PRIMER,VILLA CRESPO,15,,,Quintana al 4500 0,30,115000,7360000,3833,245333,1,64,SEGUNDO,SAN NICOLAS,1
CORRIENTES 5600,32,279000,17577000,8719,8719,45,NO,63,PRIMER,VILLA CRESPO,15,,,Entre Rios 1200 0,30,53000,3392000,1767,113067,1,64,SEGUNDO,SAN NICOLAS,1
CORRIENTES 5700,564,600000,37800000,1064,1064,45,NO,63,PRIMER,VILLA CRESPO,15,,,Mosconi 2600,36,90000,5760000,3000,192000,1,64,SEGUNDO,SAN NICOLAS,1
DORREGO 223,185,330000,20790000,1784,1784,0,NO,63,PRIMER,VILLA CRESPO,15,,,Mosconi 2600,36,82800,5299200,2760,176640,1,64,SEGUNDO,SAN NICOLAS,1
DORREGO 300,150,160000,10080000,1067,1067,65,NO,63,PRIMER,VILLA CRESPO,15,,,Esmeralda 534,31,75500,4832000,2456,157189,2,64,SEGUNDO,SAN NICOLAS,1
DORREGO 311,150,160000,10080000,1067,1067,65,NO,63,PRIMER,VILLA CRESPO,15,,,Gallo y Guardia Vieja 3º 2 0,34,77880,4984320,2512,160785,1,64,SEGUNDO,SAN NICOLAS,1
"DRAGO, LUIS MARIA 100",360,410000,25830000,1139,1139,55,NO,63,PRIMER,VILLA CRESPO,15,,,Rodriguez Peña 748,40,84000,5376000,2710,173419,2,64,SEGUNDO,SAN NICOLAS,1
"DRAGO, LUIS MARIA 300",40,149000,9387000,3725,3725,45,NO,63,PRIMER,VILLA CRESPO,15,,,Av Corrientes 848,31,69000,4416000,2226,142452,1,64,SEGUNDO,SAN NICOLAS,1
"FIGUEROA, APOLINARIO, Cnel. 100",350,440000,27720000,1257,1257,0,NO,63,PRIMER,VILLA CRESPO,15,,,Suipacha 300 0,31,59000,3776000,1903,121806,1,64,SEGUNDO,SAN NICOLAS,1
FITZ ROY 0,130,285000,17955000,2192,2192,40,NO,63,PRIMER,VILLA CRESPO,15,,,Suipacha 355,31,63000,4032000,2032,130065,1,64,SEGUNDO,SAN NICOLAS,1
FITZ ROY 100,130,265000,16695000,2038,2038,0,NO,63,PRIMER,VILLA CRESPO,15,,,Reconquista 600,31,98000,6272000,3161,202323,2,64,SEGUNDO,SAN NICOLAS,1
FITZ ROY 100,130,285000,17955000,2192,2192,40,NO,63,PRIMER,VILLA CRESPO,15,,,Suipacha 700,31,72900,4665600,2352,150503,2,64,SEGUNDO,SAN NICOLAS,1
"FRIAS,  EUSTAQUIO, TTE. GRAL. 200",115,210000,13230000,1826,1826,3,NO,63,PRIMER,VILLA CRESPO,15,,,URUGUAY 385,31,79000,5056000,2548,163097,1,64,SEGUNDO,SAN NICOLAS,1
