LOCALES,,,,,,,,,,,,,,DEPARTAMENTOS,,,,,,,,,,
DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,USDM2,PESOSM2,ANTIG,EN_GALERIA,COTIZ_,TRIMESTRE_,BARRIOS_,COMUNA_,,,Direccion,PropiedadS,Dolares,Pesos,DolaresM2,PesosM2,Ambientes,Cotizacion,Trimestre,Barrio,Comunas
DON BOSCO 3800,1160,950000,59850000,819,819,0,NO,63,PRIMER,ALMAGRO,5,,,Jose E Colombres 411,29,78000,4992000,3120,199680,1,64,SEGUNDO,ALMAGRO,5
GALLO 400,102,200000,12600000,1961,1961,20,NO,63,PRIMER,ALMAGRO,5,,,Cnel J Pringles 600,50,57000,3648000,2280,145920,1,64,SEGUNDO,ALMAGRO,5
GASCON 200,684,1450000,91350000,2120,2120,40,NO,63,PRIMER,ALMAGRO,5,,,Tte Gral Juan D Peron 3500,25,65000,4160000,2600,166400,1,64,SEGUNDO,ALMAGRO,5
GUARDIA VIEJA 4600,95,485000,30555000,5105,5105,0,NO,63,PRIMER,ALMAGRO,5,,,BARTOLOME MITRE al 3900 0,25,56000,3584000,2240,143360,1,64,SEGUNDO,ALMAGRO,5
HUMAHUACA 3700,60,170000,10710000,2833,2833,0,NO,63,PRIMER,ALMAGRO,5,,,Rawson 40,25,69000,4416000,2760,176640,1,64,SEGUNDO,ALMAGRO,5
HUMAHUACA 4200,18,54000,3402000,3000,3000,50,NO,63,PRIMER,ALMAGRO,5,,,Gral Juan Lavalle 3612,54,73000,4672000,2808,179692,2,64,SEGUNDO,ALMAGRO,5
LAVALLE 3400,478,750000,47250000,1569,1569,0,NO,63,PRIMER,ALMAGRO,5,,,Humahuaca 4300,26,75000,4800000,2885,184615,2,64,SEGUNDO,ALMAGRO,5
LAVALLE 3500,224,620000,39060000,2768,2768,0,NO,63,PRIMER,ALMAGRO,5,,,Gascon al 500 0,32,70000,4480000,2692,172308,2,64,SEGUNDO,ALMAGRO,5
LAVALLE 3900,59,125000,7875000,2119,2119,50,NO,63,PRIMER,ALMAGRO,5,,,Colombres 100,26,57000,3648000,2192,140308,1,64,SEGUNDO,ALMAGRO,5
LEZICA 4100,77,83000,5229000,1078,1078,40,NO,63,PRIMER,ALMAGRO,5,,,Dr F Muñiz 1200,26,60000,3840000,2308,147692,1,64,SEGUNDO,ALMAGRO,5
LEZICA 4300,32,95000,5985000,2969,2969,0,NO,63,PRIMER,ALMAGRO,5,,,SARMIENTO 3400,37,70000,4480000,2593,165926,1,64,SEGUNDO,ALMAGRO,5
LEZICA 4300,32,100000,6300000,3125,3125,11,NO,63,PRIMER,ALMAGRO,5,,,B Mitre 3719,27,59000,3776000,2185,139852,1,64,SEGUNDO,ALMAGRO,5
"MARMOL, JOSE 100",27,84000,5292000,3111,3111,0,NO,63,PRIMER,ALMAGRO,5,,,Don Bosco al 3800 0,27,69000,4416000,2556,163556,1,64,SEGUNDO,ALMAGRO,5
"MARMOL, JOSE 159",104,115000,7245000,1106,1106,44,NO,63,PRIMER,ALMAGRO,5,,,Hipolito Yrigoyen 3300,27,63000,4032000,2333,149333,1,64,SEGUNDO,ALMAGRO,5
MAZA 200,24,49000,3087000,2042,2042,10,NO,63,PRIMER,ALMAGRO,5,,,Guardia Vieja 4000,30,79500,5088000,2944,188444,1,64,SEGUNDO,ALMAGRO,5
MAZA 30,253,550000,34650000,2174,2174,0,NO,63,PRIMER,ALMAGRO,5,,,Treinta Y Tres Orient 53,27,72900,4665600,2700,172800,1,64,SEGUNDO,ALMAGRO,5
MAZA 800,145,220000,13860000,1517,1517,45,NO,63,PRIMER,ALMAGRO,5,,,Pringles  200 0,27,72471,4638144,2684,171783,1,64,SEGUNDO,ALMAGRO,5
MEDRANO 100,54,185000,11655000,3426,3426,25,NO,63,PRIMER,ALMAGRO,5,,,Rawson 100,27,59500,3808000,2204,141037,1,64,SEGUNDO,ALMAGRO,5
MEDRANO 369,69,84500,5323500,1225,1225,50,NO,63,PRIMER,ALMAGRO,5,,,Gascón 500,27,76000,4864000,2815,180148,2,64,SEGUNDO,ALMAGRO,5
MEDRANO 400,391,630000,39690000,1611,1611,90,NO,63,PRIMER,ALMAGRO,5,,,Pringles 400 0,30,115000,7360000,4259,272593,1,64,SEGUNDO,ALMAGRO,5
MEDRANO 500,180,440000,27720000,2444,2444,45,NO,63,PRIMER,ALMAGRO,5,,,Potosi 4300 0,27,98000,6272000,3630,232296,2,64,SEGUNDO,ALMAGRO,5
MEDRANO 600,337,295000,18585000,875,875,51,NO,63,PRIMER,ALMAGRO,5,,,MEXICO 3600 0,38,85000,5440000,3148,201481,2,64,SEGUNDO,ALMAGRO,5
MEDRANO 900,168,499000,31437000,2970,2970,0,NO,63,PRIMER,ALMAGRO,5,,,Pringles  281 0,27,73200,4684800,2711,173511,1,64,SEGUNDO,ALMAGRO,5
"MITRE, BARTOLOME 3400",115,155000,9765000,1348,1348,0,NO,63,PRIMER,ALMAGRO,5,,,B Mitre 3700,27,73500,4704000,2722,174222,1,64,SEGUNDO,ALMAGRO,5
"MITRE, BARTOLOME 4130",61,75000,4725000,1230,1230,0,NO,63,PRIMER,ALMAGRO,5,,,Pringles  200 0,27,73740,4719360,2731,174791,1,64,SEGUNDO,ALMAGRO,5
MORENO 3600,32,66000,4158000,2062,2062,40,NO,63,PRIMER,ALMAGRO,5,,,"MITRE, BARTOLOME 3700",27,72000,4608000,2667,170667,2,64,SEGUNDO,ALMAGRO,5
MUÑIZ 400,80,130000,8190000,1625,1625,50,NO,63,PRIMER,ALMAGRO,5,,,Avenida Corrientes 4200,27,109445,7004480,4054,259425,1,64,SEGUNDO,ALMAGRO,5
POTOSI 3800,20,85000,5355000,4250,4250,0,NO,63,PRIMER,ALMAGRO,5,,,PALESTINA 700,27,71000,4544000,2630,168296,1,64,SEGUNDO,ALMAGRO,5
PRINGLES 1193,70,105000,6615000,1500,1500,40,NO,63,PRIMER,ALMAGRO,5,,,Esteban A Gascon 500,27,75000,4800000,2778,177778,2,64,SEGUNDO,ALMAGRO,5
PRINGLES 600,36,120000,7560000,3333,3333,0,NO,63,PRIMER,ALMAGRO,5,,,Yatay 400,30,68000,4352000,2518,161185,1,64,SEGUNDO,ALMAGRO,5
PRINGLES 600,35,120000,7560000,3429,3429,0,NO,63,PRIMER,ALMAGRO,5,,,Av M Boedo 382,27,62000,3968000,2296,146963,1,64,SEGUNDO,ALMAGRO,5
PRINGLES 700,70,105000,6615000,1500,1500,45,NO,63,PRIMER,ALMAGRO,5,,,Pringles al 200 0,27,72771,4657344,2695,172494,2,64,SEGUNDO,ALMAGRO,5
PRINGLES 900,20,72000,4536000,3600,3600,40,NO,63,PRIMER,ALMAGRO,5,,,Virrey Liniers al 400 0,41,84000,5376000,3000,192000,1,64,SEGUNDO,ALMAGRO,5
RIVADAVIA 3500,130,209000,13167000,1608,1608,35,NO,63,PRIMER,ALMAGRO,5,,,Humahuaca 3500,30,88000,5632000,3143,201143,2,64,SEGUNDO,ALMAGRO,5
RIVADAVIA 3647,48,400000,25200000,8333,8333,0,NO,63,PRIMER,ALMAGRO,5,,,Sarmiento al 3900 0,32,87000,5568000,3107,198857,1,64,SEGUNDO,ALMAGRO,5
RIVADAVIA 3900,55,380000,23940000,6909,6909,30,NO,63,PRIMER,ALMAGRO,5,,,MEDRANO y GUARDIA VIEJA 0,28,124358,7958912,4441,284247,1,64,SEGUNDO,ALMAGRO,5
RIVADAVIA 4003,73,400000,25200000,5479,5479,0,NO,63,PRIMER,ALMAGRO,5,,,Estado de Palestina 500,28,83000,5312000,2964,189714,1,64,SEGUNDO,ALMAGRO,5
RIVADAVIA 4200,90,175000,11025000,1944,1944,0,NO,63,PRIMER,ALMAGRO,5,,,Muñiz al 300 0,33,97000,6208000,3464,221714,1,64,SEGUNDO,ALMAGRO,5
"SALGUERO, JERONIMO 300",289,280000,17640000,969,969,40,NO,63,PRIMER,ALMAGRO,5,,,PRINGLES 200,28,80000,5120000,2857,182857,2,64,SEGUNDO,ALMAGRO,5
"SALGUERO, JERONIMO 800",155,245000,15435000,1581,1581,35,NO,63,PRIMER,ALMAGRO,5,,,Humahuaca 3700,28,115000,7360000,4107,262857,2,64,SEGUNDO,ALMAGRO,5
"SALGUERO, JERONIMO 800",32,138000,8694000,4312,4312,0,NO,63,PRIMER,ALMAGRO,5,,,Palestina al 500 0,30,81000,5184000,2893,185143,1,64,SEGUNDO,ALMAGRO,5
SANCHEZ DE BUSTAMANTE 500,23,80000,5040000,3478,3478,25,SI,63,PRIMER,ALMAGRO,5,,,HUMAHUACA 3500,31,90000,5760000,3214,205714,1,64,SEGUNDO,ALMAGRO,5
SANCHEZ DE BUSTAMANTE 580,23,75000,4725000,3261,3261,20,NO,63,PRIMER,ALMAGRO,5,,,Humahuaca al 3800 0,28,80000,5120000,2857,182857,2,64,SEGUNDO,ALMAGRO,5
SANCHEZ DE LORIA 472,106,165000,10395000,1557,1557,60,NO,63,PRIMER,ALMAGRO,5,,,Sarmiento 3900,32,89900,5753600,3211,205486,2,64,SEGUNDO,ALMAGRO,5
SANCHEZ DE LORIA 600,617,650000,40950000,1053,1053,39,NO,63,PRIMER,ALMAGRO,5,,,Av. Corrientes 3841 0,28,122212,7821568,4365,279342,1,64,SEGUNDO,ALMAGRO,5
SANCHEZ DE LORIA 800,210,110000,6930000,524,524,62,NO,63,PRIMER,ALMAGRO,5,,,Humahuaca 3500 0,31,79000,5056000,2821,180571,1,64,SEGUNDO,ALMAGRO,5
SARMIENTO 4500,114,260000,16380000,2281,2281,0,NO,63,PRIMER,ALMAGRO,5,,,Av. Independencia 4000 0,30,80000,5120000,2857,182857,1,64,SEGUNDO,ALMAGRO,5
TREINTA Y TRES ORIENTALES 700,238,245000,15435000,1029,1029,0,NO,63,PRIMER,ALMAGRO,5,,,Mario Bravo al 200 0,28,82000,5248000,2929,187429,2,64,SEGUNDO,ALMAGRO,5
VENEZUELA 3700,450,750000,47250000,1667,1667,40,NO,63,PRIMER,ALMAGRO,5,,,CORRIENTES 4500,35,112726,7214464,4026,257659,1,64,SEGUNDO,ALMAGRO,5
VENEZUELA 3937,180,320000,20160000,1778,1778,0,NO,63,PRIMER,ALMAGRO,5,,,Av. Corrientes 3841 0,28,116899,7481536,4175,267198,1,64,SEGUNDO,ALMAGRO,5
VENEZUELA 4200,40,89000,5607000,2225,2225,50,NO,63,PRIMER,ALMAGRO,5,,,Corrientes 3800 0,28,116899,7481536,4175,267198,1,64,SEGUNDO,ALMAGRO,5
YAPEYU 100,86,260000,16380000,3023,3023,0,NO,63,PRIMER,ALMAGRO,5,,,Muñiz 164,32,107000,6848000,3754,240281,2,64,SEGUNDO,ALMAGRO,5
YAPEYU 384,55,82000,5166000,1491,1491,20,NO,63,PRIMER,ALMAGRO,5,,,MUÑIZ 300,29,85000,5440000,2943,188366,1,64,SEGUNDO,ALMAGRO,5
YATAY 1024,30,139000,8757000,4633,4633,0,NO,63,PRIMER,ALMAGRO,5,,,Rawson 345 0,32,106852,6838528,3685,235811,1,64,SEGUNDO,ALMAGRO,5
YATAY 200,109,189000,11907000,1734,1734,40,NO,63,PRIMER,ALMAGRO,5,,,Juan Domingo Perón al 3500 0,31,79000,5056000,2724,174345,1,64,SEGUNDO,ALMAGRO,5
"YRIGOYEN, HIPOLITO 3400",185,290000,18270000,1568,1568,45,NO,63,PRIMER,ALMAGRO,5,,,Muñiz al 600 0,32,71000,4544000,2448,156690,1,64,SEGUNDO,ALMAGRO,5
"YRIGOYEN, HIPOLITO 3400",56,169500,10678500,3027,3027,40,NO,63,PRIMER,ALMAGRO,5,,,MEDRANO 600 0,45,83000,5312000,2862,183172,1,64,SEGUNDO,ALMAGRO,5
"YRIGOYEN, HIPOLITO 4100",44,130000,8190000,2955,2955,70,NO,63,PRIMER,ALMAGRO,5,,,"Yatay 749, 8º C 0",35,85000,5440000,2931,187586,1,64,SEGUNDO,ALMAGRO,5
24 DE NOVIEMBRE 200,198,290000,18270000,1465,1465,70,NO,63,PRIMER,BALVANERA,3,,,HUMAHUACA 3700,33,99000,6336000,3414,218483,2,64,SEGUNDO,ALMAGRO,5
AGUERO 430,102,165000,10395000,1618,1618,0,NO,63,PRIMER,BALVANERA,3,,,Muñiz 300,34,75000,4800000,2586,165517,1,64,SEGUNDO,ALMAGRO,5
AGUERO 446,121,198000,12474000,1636,1636,43,NO,63,PRIMER,BALVANERA,3,,,Avenida Díaz Vélez 4000,29,82900,5305600,2859,182952,2,64,SEGUNDO,ALMAGRO,5
AGUERO 700,45,124900,7868700,2776,2776,0,NO,63,PRIMER,BALVANERA,3,,,CORRIENTES 3800,33,122212,7821568,4214,269709,1,64,SEGUNDO,ALMAGRO,5
AGUERO 800,159,298000,18774000,1874,1874,60,NO,63,PRIMER,BALVANERA,3,,,CORRIENTES 3800,33,123984,7934976,4275,273620,1,64,SEGUNDO,ALMAGRO,5
ALBERTI 200,260,300000,18900000,1154,1154,100,NO,63,PRIMER,BALVANERA,3,,,Sarmiento 3600,29,79000,5056000,2724,174345,2,64,SEGUNDO,ALMAGRO,5
ALBERTI 300,92,90000,5670000,978,978,0,NO,63,PRIMER,BALVANERA,3,,,CORRIENTES 3800,33,127527,8161728,4398,281439,1,64,SEGUNDO,ALMAGRO,5
"ALSINA, ADOLFO 1900",106,165000,10395000,1557,1557,40,NO,63,PRIMER,BALVANERA,3,,,salguero al 800 0,29,75000,4800000,2586,165517,2,64,SEGUNDO,ALMAGRO,5
"ALSINA, ADOLFO 2100",908,793000,49959000,873,873,12,NO,63,PRIMER,BALVANERA,3,,,diaz velez al 4000 0,29,82900,5305600,2859,182952,2,64,SEGUNDO,ALMAGRO,5
"ALSINA, ADOLFO 2701",142,169000,10647000,1190,1190,0,NO,63,PRIMER,BALVANERA,3,,,Salguero 800 0,29,101000,6464000,3483,222897,2,64,SEGUNDO,ALMAGRO,5
"ALSINA, ADOLFO 2800",680,1100000,69300000,1618,1618,80,NO,63,PRIMER,BALVANERA,3,,,CORRIENTES 3800,33,116900,7481600,4031,257986,1,64,SEGUNDO,ALMAGRO,5
"ALSINA, ADOLFO 2800",35,100000,6300000,2857,2857,0,NO,63,PRIMER,BALVANERA,3,,,Pringles al 800 0,29,81000,5184000,2793,178759,2,64,SEGUNDO,ALMAGRO,5
"ALSINA, ADOLFO 2800",35,120000,7560000,3429,3429,0,NO,63,PRIMER,BALVANERA,3,,,Cnel. Pringles 715 5ºB ( Obrero Nuñez - Sarmient,29,68500,4384000,2362,151172,1,64,SEGUNDO,ALMAGRO,5
"ANCHORENA, TOMAS M. DE, DR 2",39,84000,5292000,2154,2154,60,SI,63,PRIMER,BALVANERA,3,,,CORRIENTES 3800,33,125755,8048320,4336,277528,1,64,SEGUNDO,ALMAGRO,5
"ANCHORENA, TOMAS M. DE, DR 300",114,148700,9368100,1304,1304,48,SI,63,PRIMER,BALVANERA,3,,,Sarmiento al 4100 0,29,85000,5440000,2931,187586,1,64,SEGUNDO,ALMAGRO,5
"ANCHORENA, TOMAS M. DE, DR 300",114,165000,10395000,1447,1447,0,SI,63,PRIMER,BALVANERA,3,,,YATAY 700 0,29,94900,6073600,3272,209434,1,64,SEGUNDO,ALMAGRO,5
"ANCHORENA, TOMAS M. DE, DR 600",130,195000,12285000,1500,1500,50,SI,63,PRIMER,BALVANERA,3,,,J Salguero 800,33,88000,5632000,3034,194207,1,64,SEGUNDO,ALMAGRO,5
"ANCHORENA, TOMAS M. DE, DR 600",52,115000,7245000,2212,2212,45,NO,63,PRIMER,BALVANERA,3,,,Tte Gral Juan D Peron 3527,31,85000,5440000,2931,187586,1,64,SEGUNDO,ALMAGRO,5
"ANCHORENA, TOMAS M. DE, DR 600",33,119900,7553700,3633,3633,1,SI,63,PRIMER,BALVANERA,3,,,Tte Gral Juan D Peron 4137,29,62000,3968000,2138,136828,1,64,SEGUNDO,ALMAGRO,5
AYACUCHO 685,55,105000,6615000,1909,1909,50,NO,63,PRIMER,BALVANERA,3,,,Independencia 3381 - Edificio Sol de Independenci*,32,63900,4089600,2203,141021,1,64,SEGUNDO,ALMAGRO,5
AYACUCHO 800,123,250000,15750000,2033,2033,50,NO,63,PRIMER,BALVANERA,3,,,AV Independencia 3800 0,31,80000,5120000,2759,176552,1,64,SEGUNDO,ALMAGRO,5
AZCUENAGA 300,210,1430000,90090000,6810,6810,40,NO,63,PRIMER,BALVANERA,3,,,Sanchez De Bustamante 978,29,87000,5568000,3000,192000,1,64,SEGUNDO,ALMAGRO,5
AZCUENAGA 300,200,1450000,91350000,7250,7250,45,NO,63,PRIMER,BALVANERA,3,,,Domingo F Sarmiento 4547,30,100000,6400000,3333,213333,2,64,SEGUNDO,ALMAGRO,5
AZCUENAGA 400,275,1100000,69300000,4000,4000,20,NO,63,PRIMER,BALVANERA,3,,,PRINGLES 200,30,83001,5312064,2767,177069,2,64,SEGUNDO,ALMAGRO,5
AZCUENAGA 700,115,160000,10080000,1391,1391,40,NO,63,PRIMER,BALVANERA,3,,,Palestina 500,30,84500,5408000,2817,180267,1,64,SEGUNDO,ALMAGRO,5
AZCUENAGA 700,127,180000,11340000,1417,1417,45,NO,63,PRIMER,BALVANERA,3,,,LEZICA 4228,60,87000,5568000,2900,185600,1,64,SEGUNDO,ALMAGRO,5
BELGRANO 1900,12,87000,5481000,7250,7250,80,NO,63,PRIMER,BALVANERA,3,,,Pte. Peron 3400 0,30,69000,4416000,2300,147200,2,64,SEGUNDO,ALMAGRO,5
