Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume
9/18/2014,456.859985,456.859985,413.104004,424.440002,424.440002,34483200,,11/9/2017,308.644989,329.451996,307.056,320.884003,320.884003,893249984
9/19/2014,424.102997,427.834991,384.532013,394.79599,394.79599,37919700,,11/10/2017,320.67099,324.717987,294.541992,299.252991,299.252991,885985984
9/20/2014,394.673004,423.29599,389.882996,408.903992,408.903992,36863600,,11/11/2017,298.585999,319.453003,298.191986,314.681,314.681,842300992
9/21/2014,408.084991,412.425995,393.181,398.821014,398.821014,26580100,,11/12/2017,314.690002,319.153015,298.513,307.90799,307.90799,1613479936
9/22/2014,399.100006,406.915985,397.130005,402.152008,402.152008,24127600,,11/13/2017,307.024994,328.415009,307.024994,316.716003,316.716003,1041889984
9/23/2014,402.09201,441.557007,396.196991,435.790985,435.790985,45099500,,11/14/2017,316.763,340.177002,316.763,337.631012,337.631012,1069680000
9/24/2014,435.751007,436.112,421.131989,423.204987,423.204987,30627700,,11/15/2017,337.963989,340.911987,329.812988,333.356995,333.356995,722665984
9/25/2014,423.156006,423.519989,409.467987,411.574005,411.574005,26814400,,11/16/2017,333.442993,336.158997,323.605988,330.924011,330.924011,797254016
9/26/2014,411.428986,414.937988,400.009003,404.424988,404.424988,21460800,,11/17/2017,330.166992,334.963989,327.52301,332.394012,332.394012,621732992
9/27/2014,403.556,406.622986,397.372009,399.519989,399.519989,15029300,,11/18/2017,331.980011,349.615997,327.687012,347.612,347.612,649638976
9/28/2014,399.471008,401.016998,374.332001,377.181,377.181,23613300,,11/19/2017,347.401001,371.290985,344.73999,354.385986,354.385986,1181529984
9/29/2014,376.928009,385.210999,372.23999,375.46701,375.46701,32497700,,11/20/2017,354.093994,372.136993,353.289001,366.730011,366.730011,807027008
9/30/2014,376.088013,390.97699,373.442993,386.944,386.944,34707300,,11/21/2017,367.442993,372.470001,350.692993,360.401001,360.401001,949912000
10/1/2014,387.427002,391.378998,380.779999,383.61499,383.61499,26229400,,11/22/2017,360.312012,381.420013,360.147003,380.652008,380.652008,800819008
10/2/2014,383.988007,385.497009,372.946014,375.071991,375.071991,21777700,,11/23/2017,381.438995,425.548004,376.088013,410.165985,410.165985,1845680000
10/3/2014,375.181,377.695007,357.859009,359.511993,359.511993,30901200,,11/24/2017,412.501007,480.972992,402.757996,474.911011,474.911011,2292829952
10/4/2014,359.891998,364.487,325.885986,328.865997,328.865997,47236500,,11/25/2017,475.675995,485.191986,461.053009,466.276001,466.276001,1422080000
10/5/2014,328.915985,341.800995,289.29599,320.51001,320.51001,83308096,,11/26/2017,465.973999,472.722992,451.605988,471.329987,471.329987,1197779968
10/6/2014,320.389008,345.134003,302.559998,330.07901,330.07901,79011800,,11/27/2017,471.531006,493.404999,468.484985,480.355011,480.355011,1396480000
10/7/2014,330.584015,339.247009,320.481995,336.187012,336.187012,49199900,,11/28/2017,480.518005,482.480011,466.346985,472.902008,472.902008,1346499968
10/8/2014,336.115997,354.364014,327.187988,352.940002,352.940002,54736300,,11/29/2017,473.281006,522.307007,425.071014,427.52301,427.52301,2675940096
10/9/2014,352.747986,382.726013,347.687012,365.026001,365.026001,83641104,,11/30/2017,431.214996,465.497009,401.243011,447.114014,447.114014,1903040000
10/10/2014,364.687012,375.066986,352.963013,361.562012,361.562012,43665700,,12/1/2017,445.209015,472.609009,428.312012,466.540009,466.540009,1247879936
10/11/2014,361.362,367.19101,355.950989,362.299011,362.299011,13345200,,12/2/2017,466.851013,476.239014,456.653015,463.449005,463.449005,943649984
10/12/2014,362.605988,379.433014,356.144012,378.549011,378.549011,17552800,,12/3/2017,463.704987,482.813995,451.85199,465.852997,465.852997,990556992
10/13/2014,377.92099,397.226013,368.897003,390.414001,390.414001,35221400,,12/4/2017,466.053986,474.777008,453.312012,470.20401,470.20401,1005550016
